Date,Footwear Sales,,
2022-04-18,30078.944446,,
2022-04-25,34856.057948,,
2022-05-02,38520.344958,,
2022-05-09,41331.037916,,
2022-05-16,43486.981184,,
2022-05-23,45140.698414,,
2022-05-30,46409.182941,,
2022-06-06,47382.174554,,
2022-06-13,48128.508198,,
2022-06-20,48700.983747,,
2022-06-27,49140.101368,,
2022-07-04,49476.926733,,
2022-07-11,49735.288776,,
2022-07-18,49933.465495,,
2022-07-25,50085.477034,,
2022-08-01,50202.077552,,
2022-08-08,50291.516030,,
2022-08-15,50360.119854,,
2022-08-22,50412.742448,,
2022-08-29,50453.106631,,
2022-09-05,50484.067996,,
2022-09-12,50507.816924,,
2022-09-19,50526.033550,,
2022-09-26,50540.006621,,
2022-10-03,50550.724671,,
2022-10-10,50558.945956,,
2022-10-17,50565.252096,,
2022-10-24,50570.089224,,
2022-10-31,50573.799545,,
2022-11-07,50576.645548,,
2022-11-14,50578.828576,,
2022-11-21,50580.503069,,
2022-11-28,50581.787489,,
2022-12-05,50582.772704,,
2022-12-12,50583.528414,,
2022-12-19,50584.108081,,
2022-12-26,50584.552716,,
2023-01-02,50584.893772,,
2023-01-09,50585.155380,,
2023-01-16,50585.356047,,
